epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,1980.23,0.81863,2.46498,1.00012,0.65168,0.76729,0.67881,0.50556,1.22299,5.31352,1.32259,0.000215375,0.000215375,0.000215375
117,1996.95,0.8316,2.50866,0.99072,0.71527,0.76768,0.67498,0.51676,1.15311,4.81325,1.26011,0.0002129,0.0002129,0.0002129
118,2013.65,0.80225,2.39293,0.98665,0.76575,0.79658,0.69828,0.52763,1.14375,4.74917,1.23028,0.000210425,0.000210425,0.000210425
119,2030.8,0.80477,2.44865,0.9899,0.81336,0.73633,0.68304,0.52214,1.15103,4.8377,1.23936,0.00020795,0.00020795,0.00020795
120,2047.45,0.79142,2.39089,0.98112,0.73953,0.73417,0.67228,0.51719,1.11933,4.70542,1.20032,0.000205475,0.000205475,0.000205475
121,2064.48,0.81439,2.48803,0.9837,0.74782,0.72237,0.63963,0.48022,1.12976,4.84492,1.20862,0.000203,0.000203,0.000203
122,2081.5,0.80405,2.38535,0.97745,0.7354,0.73868,0.67372,0.51289,1.15286,4.61444,1.24364,0.000200525,0.000200525,0.000200525
123,2098.2,0.78774,2.37955,0.98678,0.70301,0.72807,0.66993,0.51722,1.14431,4.62541,1.22708,0.00019805,0.00019805,0.00019805
124,2115.12,0.8008,2.34412,0.97385,0.73567,0.75909,0.70032,0.52288,1.15617,4.83847,1.25962,0.000195575,0.000195575,0.000195575
125,2131.46,0.79296,2.30788,0.98611,0.73061,0.75564,0.68614,0.53164,1.17349,4.65839,1.27572,0.0001931,0.0001931,0.0001931
126,2147.99,0.7975,2.39561,0.99311,0.79917,0.72227,0.69101,0.53098,1.14035,4.66294,1.23802,0.000190625,0.000190625,0.000190625
127,2164.34,0.78878,2.37921,0.97833,0.75538,0.75813,0.66802,0.50321,1.15193,5.00869,1.22477,0.00018815,0.00018815,0.00018815
128,2181.22,0.77892,2.30531,0.98176,0.75047,0.7399,0.66537,0.50311,1.16073,4.92478,1.2542,0.000185675,0.000185675,0.000185675
129,2198.78,0.78838,2.39742,0.99332,0.74461,0.77478,0.6754,0.50943,1.17551,4.86516,1.30273,0.0001832,0.0001832,0.0001832
130,2216.42,0.79318,2.42799,0.98697,0.76634,0.74585,0.66154,0.51278,1.15341,4.93238,1.30227,0.000180725,0.000180725,0.000180725
131,2233.64,0.76231,2.2913,0.97689,0.75074,0.7414,0.65842,0.51112,1.19786,4.71091,1.35472,0.00017825,0.00017825,0.00017825
132,2251.04,0.78667,2.33593,0.96305,0.73676,0.77916,0.67759,0.51596,1.16515,4.69409,1.276,0.000175775,0.000175775,0.000175775
133,2267.89,0.76948,2.29322,0.98569,0.74289,0.72673,0.64372,0.51025,1.15471,4.85898,1.2579,0.0001733,0.0001733,0.0001733
134,2284.37,0.76194,2.22422,0.95326,0.70992,0.73454,0.66044,0.5131,1.1871,5.11056,1.30441,0.000170825,0.000170825,0.000170825
135,2301.23,0.76079,2.24495,0.95588,0.74361,0.71625,0.64509,0.515,1.19135,5.03469,1.32589,0.00016835,0.00016835,0.00016835
136,2318.4,0.76059,2.25475,0.96577,0.77188,0.72534,0.65792,0.51033,1.1657,5.07239,1.29937,0.000165875,0.000165875,0.000165875
137,2335.75,0.74683,2.20886,0.95024,0.77235,0.73333,0.67202,0.51961,1.17975,5.02605,1.30011,0.0001634,0.0001634,0.0001634
138,2352.47,0.77101,2.31229,0.97299,0.7197,0.76597,0.67989,0.51349,1.16366,4.86065,1.26673,0.000160925,0.000160925,0.000160925
139,2369.34,0.75927,2.27152,0.9602,0.75101,0.7586,0.64733,0.4908,1.19511,4.91116,1.26113,0.00015845,0.00015845,0.00015845
140,2386.62,0.73947,2.20285,0.9561,0.74008,0.7553,0.68684,0.51504,1.17229,4.80513,1.25338,0.000155975,0.000155975,0.000155975
141,2403.58,0.75734,2.27115,0.97748,0.75713,0.75118,0.69819,0.52186,1.17529,4.86439,1.2666,0.0001535,0.0001535,0.0001535
142,2420.42,0.78219,2.27866,0.96633,0.78236,0.73771,0.6965,0.52362,1.18901,4.84218,1.26775,0.000151025,0.000151025,0.000151025
143,2437.08,0.73268,2.1885,0.95331,0.76666,0.74968,0.71038,0.52832,1.14602,4.75806,1.26765,0.00014855,0.00014855,0.00014855
144,2454.15,0.74762,2.23276,0.97233,0.75224,0.76768,0.69554,0.51626,1.16915,4.87644,1.29586,0.000146075,0.000146075,0.000146075
145,2471.56,0.76445,2.24184,0.96242,0.74083,0.76162,0.67892,0.524,1.12323,4.82176,1.26289,0.0001436,0.0001436,0.0001436
146,2488.38,0.74865,2.30155,0.96436,0.72778,0.75107,0.65662,0.5125,1.13392,4.79477,1.27202,0.000141125,0.000141125,0.000141125
147,2505.47,0.73578,2.21948,0.96339,0.73114,0.76242,0.66353,0.51649,1.14414,4.65897,1.28118,0.00013865,0.00013865,0.00013865
148,2522.4,0.77254,2.28327,0.95409,0.75642,0.76381,0.67229,0.51917,1.14797,4.65069,1.28922,0.000136175,0.000136175,0.000136175
149,2539.54,0.74476,2.18749,0.93476,0.74526,0.76734,0.66683,0.51526,1.16885,4.66349,1.30039,0.0001337,0.0001337,0.0001337
150,2556.36,0.72743,2.20777,0.95749,0.78057,0.76187,0.68258,0.51879,1.14798,4.51856,1.27874,0.000131225,0.000131225,0.000131225
151,2573.68,0.71309,2.12417,0.95684,0.75755,0.75585,0.67785,0.52591,1.11524,4.56328,1.26552,0.00012875,0.00012875,0.00012875
152,2590.47,0.7269,2.09966,0.92855,0.75614,0.77643,0.70153,0.53079,1.13367,4.58573,1.2771,0.000126275,0.000126275,0.000126275
153,2607.24,0.72632,2.10578,0.94653,0.75338,0.7893,0.70316,0.52559,1.13575,4.59412,1.28588,0.0001238,0.0001238,0.0001238
154,2623.7,0.74215,2.19549,0.95834,0.75026,0.78249,0.69793,0.52375,1.10861,4.73216,1.26838,0.000121325,0.000121325,0.000121325
